/* DATA DESCRIPTION:
Citation:	Rasmussen, Sune Olander; Vinther, Bo Møllesøe (2022): DYE-3 18C ice core detailed water isotope data [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.942937
Abstract:	The shallow core 18C was drilled to 110 m 36 km upstream from DYE-3. Position 65.03N 44.39W. The delta-18O data were all measured immediately after the 1984 drilling operation. The delta-18O data uncertainty is 0.1 per mil. The samples are cut to achieve an average resolution of 8 samples per year, i.e. the depth resolution increases with depth (as annual layers thin). All sample depths are for the bottom of each sample.
Keyword(s):	d18O; DYE-3 18C
Supplement to:	Rasmussen, Sune Olander; Dahl-Jensen, Dorthe; Fischer, Hubertus; Fuhrer, Katrin; Hansen, Steffen Bo; Hansson, Margareta E; Hvidberg, Christine Schøtt; Jonsell, Ulf; Kipfstuhl, Sepp; Ruth, Urs; Schwander, Jakob; Siggaard-Andersen, Marie-Louise; Sinnl, Giulia; Steffensen, Jørgen Peder; Svensson, Anders M; Vinther, Bo Møllesøe (2023): Ice-core data used for the construction of the Greenland Ice-Core Chronology 2005 and 2021 (GICC05 and GICC21). Earth System Science Data, 15(8), 3351-3364, https://doi.org/10.5194/essd-15-3351-2023
Further details:	Clausen, Henrik Brink; Hammer, C U (1988): The Laki and Tambora Eruptions as Revealed in Greenland Ice Cores from 11 Locations. Annals of Glaciology, 10, 16-22, https://doi.org/10.3189/S0260305500004092
	Vinther, Bo Møllesøe; Jones, Philip D; Briffa, Keith R; Clausen, Henrik Brink; Andersen, Katrine K; Dahl-Jensen, Dorthe; Johnsen, Sigfús Jóhann (2010): Climatic signals in multiple highly resolved stable isotope records from Greenland. Quaternary Science Reviews, 29(3-4), 522-538, https://doi.org/10.1016/j.quascirev.2009.11.002
Coverage:	LATITUDE: 65.030000 * LONGITUDE: -44.390000
	MINIMUM DEPTH, ice/snow: 0.000 m * MAXIMUM DEPTH, ice/snow: 112.982 m
Event(s):	DYE-3_18C * LATITUDE: 65.030000 * LONGITUDE: -44.390000 * ELEVATION: 2620.0 m * LOCATION: Greenland * CAMPAIGN: DYE * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Rasmussen, Sune Olander (https://orcid.org/0000-0002-4177-3611, sune.rasmussen@nbi.ku.dk)
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Rasmussen, Sune Olander (https://orcid.org/0000-0002-4177-3611, sune.rasmussen@nbi.ku.dk) * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: vs. VSMOW
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	1364 data points
*/
Depth ice/snow [m]	δ18O H2O [‰ SMOW]
0.000	
0.156	-21.05
0.311	-27.89
0.467	-32.41
0.623	-31.60
0.778	-29.11
0.934	-27.72
1.089	-27.67
1.245	-21.71
1.395	-23.48
1.545	-24.83
